# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PasswordUtilityBenchmark.testHashPassword
# Parameters: (passwordToTest = 123456)

# Run progress: 0,00% complete, ETA 00:03:40
# Fork: 1 of 2
# Warmup Iteration   1: 243,245 ns/op
# Warmup Iteration   2: 212,045 ns/op
# Warmup Iteration   3: 209,506 ns/op
# Warmup Iteration   4: 209,398 ns/op
# Warmup Iteration   5: 210,347 ns/op
# Warmup Iteration   6: 209,417 ns/op
# Warmup Iteration   7: 210,237 ns/op
# Warmup Iteration   8: 209,927 ns/op
# Warmup Iteration   9: 209,635 ns/op
# Warmup Iteration  10: 209,887 ns/op
# Warmup Iteration  11: 209,290 ns/op
# Warmup Iteration  12: 209,957 ns/op
# Warmup Iteration  13: 207,462 ns/op
# Warmup Iteration  14: 209,323 ns/op
# Warmup Iteration  15: 208,716 ns/op
# Warmup Iteration   6: 203,377 ns/op
# Warmup Iteration   7: 203,235 ns/op
# Warmup Iteration   8: 203,518 ns/op
# Warmup Iteration   9: 203,098 ns/op
# Warmup Iteration  10: 203,278 ns/op
# Warmup Iteration  11: 203,445 ns/op
# Warmup Iteration  12: 203,510 ns/op
# Warmup Iteration  13: 203,549 ns/op
# Warmup Iteration  14: 203,711 ns/op
# Warmup Iteration  15: 202,687 ns/op
Iteration   1: 202,982 ns/op
Iteration   2: 202,911 ns/op
Iteration   3: 203,851 ns/op
Iteration   4: 203,037 ns/op
Iteration   5: 203,928 ns/op
Iteration   6: 203,373 ns/op
Iteration   7: 203,359 ns/op
Iteration   8: 203,464 ns/op
Iteration   9: 202,757 ns/op
Iteration  10: 203,692 ns/op
Iteration  11: 203,368 ns/op
Iteration  12: 203,175 ns/op
Iteration  13: 204,221 ns/op
Iteration  14: 203,401 ns/op
Iteration  15: 203,890 ns/op
Iteration  16: 202,594 ns/op
Iteration  17: 202,817 ns/op
Iteration  18: 203,561 ns/op
Iteration  19: 203,586 ns/op
Iteration  20: 204,315 ns/op
Iteration  21: 203,621 ns/op
Iteration  22: 203,315 ns/op
Iteration  23: 204,003 ns/op
Iteration  24: 203,538 ns/op
Iteration  25: 203,999 ns/op
Iteration  26: 203,805 ns/op
Iteration  27: 204,559 ns/op
Iteration  28: 203,948 ns/op
Iteration  29: 203,185 ns/op
Iteration  30: 204,292 ns/op
Iteration  31: 202,541 ns/op
Iteration  32: 203,489 ns/op
Iteration  33: 203,192 ns/op
Iteration  34: 203,189 ns/op
Iteration  35: 203,335 ns/op
Iteration  36: 204,045 ns/op
Iteration  37: 204,895 ns/op
Iteration  38: 202,774 ns/op
Iteration  39: 202,859 ns/op
Iteration  40: 202,556 ns/op


Result "benchmark.PasswordUtilityBenchmark.testHashPassword":
  206,431 ±(99.9%) 1,152 ns/op [Average]
  (min, avg, max) = (202,541, 206,431, 210,718), stdev = 3,014
  CI (99.9%): [205,279, 207,582] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PasswordUtilityBenchmark.testHashPassword
# Parameters: (passwordToTest = UnaPasswordMoltoLungaPerVedereSeCambiaQualcosaNelTempoDiHashing)

# Run progress: 50,00% complete, ETA 00:01:51
# Fork: 1 of 2
# Warmup Iteration   1: 297,322 ns/op
# Warmup Iteration   2: 247,399 ns/op
# Warmup Iteration   3: 244,396 ns/op
# Warmup Iteration   4: 243,728 ns/op
# Warmup Iteration   5: 242,352 ns/op
# Warmup Iteration   6: 242,930 ns/op
# Warmup Iteration   7: 242,827 ns/op
# Warmup Iteration   8: 242,481 ns/op
# Warmup Iteration   9: 245,654 ns/op
# Warmup Iteration  10: 243,081 ns/op
# Warmup Iteration  11: 244,045 ns/op
# Warmup Iteration  12: 243,698 ns/op
# Warmup Iteration  13: 243,808 ns/op
# Warmup Iteration  14: 243,608 ns/op
# Warmup Iteration  15: 243,099 ns/op
Iteration   1: 243,470 ns/op
Iteration   2: 244,689 ns/op
Iteration   3: 244,877 ns/op
Iteration   4: 242,819 ns/op
Iteration   5: 247,460 ns/op
Iteration   6: 244,665 ns/op
Iteration   7: 243,235 ns/op
Iteration   8: 242,700 ns/op
Iteration   9: 243,151 ns/op
Iteration  10: 244,313 ns/op
Iteration  11: 244,749 ns/op
Iteration  12: 244,726 ns/op
Iteration  13: 243,346 ns/op
Iteration  14: 243,771 ns/op
Iteration  15: 245,187 ns/op
Iteration  16: 244,750 ns/op
Iteration  17: 242,530 ns/op
Iteration  18: 244,191 ns/op
Iteration  19: 242,133 ns/op
Iteration  20: 244,865 ns/op
Iteration  21: 243,241 ns/op
Iteration  22: 244,402 ns/op
Iteration  23: 242,875 ns/op
Iteration  24: 245,218 ns/op
Iteration  25: 242,362 ns/op
Iteration  26: 242,245 ns/op
Iteration  27: 243,789 ns/op
Iteration  28: 243,509 ns/op
Iteration  29: 242,815 ns/op
Iteration  30: 243,395 ns/op
Iteration  31: 244,543 ns/op
Iteration  32: 243,740 ns/op
Iteration  33: 243,022 ns/op
Iteration  34: 243,771 ns/op
Iteration  35: 243,552 ns/op
Iteration  36: 242,642 ns/op
Iteration  37: 243,523 ns/op
Iteration  38: 243,019 ns/op
Iteration  39: 244,148 ns/op
Iteration  40: 242,130 ns/op

# Run progress: 75,00% complete, ETA 00:00:55
# Fork: 2 of 2
# Warmup Iteration   1: 287,867 ns/op
# Warmup Iteration   2: 242,129 ns/op
# Warmup Iteration   3: 237,630 ns/op
# Warmup Iteration   4: 238,365 ns/op
# Warmup Iteration   5: 241,216 ns/op
# Warmup Iteration   6: 238,072 ns/op
# Warmup Iteration   7: 237,285 ns/op
# Warmup Iteration   8: 237,392 ns/op
# Warmup Iteration   9: 238,845 ns/op
# Warmup Iteration  10: 237,911 ns/op
# Warmup Iteration  11: 238,621 ns/op
# Warmup Iteration  12: 237,235 ns/op
# Warmup Iteration  13: 237,826 ns/op
# Warmup Iteration  14: 237,925 ns/op
# Warmup Iteration  15: 237,062 ns/op
Iteration   1: 237,280 ns/op
Iteration   2: 236,778 ns/op
Iteration   3: 238,099 ns/op
Iteration   4: 238,248 ns/op
Iteration   5: 238,245 ns/op
Iteration   6: 238,217 ns/op
Iteration   7: 238,283 ns/op
Iteration   8: 238,306 ns/op
Iteration   9: 237,432 ns/op
Iteration  10: 237,822 ns/op
Iteration  11: 237,421 ns/op
Iteration  12: 237,656 ns/op
Iteration  13: 238,357 ns/op
Iteration  14: 237,349 ns/op
Iteration  15: 237,520 ns/op
Iteration  16: 237,160 ns/op
Iteration  17: 238,704 ns/op
Iteration  18: 238,186 ns/op
Iteration  19: 237,580 ns/op
Iteration  20: 237,819 ns/op
Iteration  21: 237,817 ns/op
Iteration  22: 238,105 ns/op
Iteration  23: 237,868 ns/op
Iteration  24: 238,170 ns/op
Iteration  25: 237,209 ns/op
Iteration  26: 237,537 ns/op
Iteration  27: 237,933 ns/op
Iteration  28: 239,093 ns/op
Iteration  29: 237,629 ns/op
Iteration  30: 237,834 ns/op
Iteration  31: 237,189 ns/op
Iteration  32: 237,125 ns/op
Iteration  33: 237,623 ns/op
Iteration  34: 237,278 ns/op
Iteration  35: 237,834 ns/op
Iteration  36: 238,714 ns/op
Iteration  37: 238,344 ns/op
Iteration  38: 237,594 ns/op
Iteration  39: 238,500 ns/op
Iteration  40: 237,593 ns/op


Result "benchmark.PasswordUtilityBenchmark.testHashPassword":
  240,788 ±(99.9%) 1,179 ns/op [Average]
  (min, avg, max) = (236,778, 240,788, 247,460), stdev = 3,085
  CI (99.9%): [239,609, 241,967] (assumes normal distribution)


# Run complete. Total time: 00:03:43

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                                                                                 (passwordToTest)  Mode  Cnt    Score   Error  Units
PasswordUtilityBenchmark.testHashPassword                                                           123456  avgt   80  206,431 ± 1,152  ns/op
PasswordUtilityBenchmark.testHashPassword  UnaPasswordMoltoLungaPerVedereSeCambiaQualcosaNelTempoDiHashing  avgt   80  240,788 ± 1,179  ns/op
